BOAMP_AVIS_NUM,D_13_01_Conditionparticipation_Critereselection,D_13_02_Conditionparticipation_Situationjuridique,D_13_03_Conditionparticipation_Situationjuridiquesst,D_13_04_Conditionparticipation_Capecomarcheoui,D_13_05_Conditionparticipation_Capecomarchenon,D_13_06_Conditionparticipation_Capeco,D_13_07_Conditionparticipation_Capecosst,D_13_08_Conditionparticipation_Capeconiveaumini,D_13_09_Conditionparticipation_Capeconiveauminisst,D_13_10_Conditionparticipation_Captechoffreoui,D_13_11_Conditionparticipation_Captechoffrenon,D_13_12_Conditionparticipation_Captech,D_13_13_Conditionparticipation_Captechsst,D_13_14_Conditionparticipation_Captechniveaumini,D_13_15_Conditionparticipation_Captechniveauminisst,D_13_16_Conditionparticipation_Criteresparticipation,D_13_17_Conditionparticipation_Marchereserveoui,D_13_17_01_Conditionparticipation_Marchereserveoui_Ateliersproteges,D_13_17_02_Conditionparticipation_Marchereserveoui_Emploisproteges,D_13_18_Conditionparticipation_Marchereservenon,D_13_19_Conditionparticipation_Prestationreserveeoui,D_13_20_Conditionparticipation_Prestationreserveenon,D_13_21_Conditionparticipation_Conditionparticuliereexecution,D_13_22_Conditionparticipation_Indicationobligatoirenomqualificationsoui,D_13_23_Conditionparticipation_Indicationobligatoirenomqualificationsnon,D_13_24_Conditionparticipation_Justificatifscandidat,D_13_24_01_Conditionparticipation_Justificatifscandidat_P,D_13_25_Conditionparticipation_Eligiblemps,D_13_25_01_Conditionparticipation_Eligiblemps_Oui,D_13_25_02_Conditionparticipation_Eligiblemps_Non
22-2872,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
22-2882,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
22-2915,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Documents à produire à l'appui des candidatures par le candidat, au choix de l'acheteur public",CF_NIV_SUIV,False,True
22-2915,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Déclaration concernant le chiffre d'affaires global et le chiffre d'affaires concernant les fournitures, services ou travaux objet du marché, réalisés au cours des trois derniers exercices disponibles",CF_NIV_SUIV,False,True
22-2915,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Déclaration indiquant les effectifs moyens annuels du candidat et l'importance du personnel d'encadrement pour chacune des trois dernières années,CF_NIV_SUIV,False,True
22-2915,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Présentation d'une liste des principales fournitures ou des principaux services effectués au cours des trois dernières années, indiquant le montant, la date et le destinataire public ou privé. Les livraisons et les prestations de services sont prouvées par des attestations du destinataire ou, à défaut, par une déclaration de l'opérateur économique",CF_NIV_SUIV,False,True
22-2915,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Certificats établis par des services chargés du contrôle de la qualité et habilités à attester la conformité des fournitures par des références à certaines spécifications techniques. Il est accepté d'autres preuves de mesures équivalentes de garantie de la qualité produites par le candidat, si celui-ci n'a pas accès à ces certificats ou n'a aucune possibilité de les obtenir dans les délais fixés",CF_NIV_SUIV,False,True
22-2915,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,- Les fiches de données sécurité pour les produits considérés comme dangereux ou nocifs- L'autorisation de Mise sur le Marché (AMM),CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Documents à produire obligatoirement par le candidat, à l'appui de sa candidature",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Copie du ou des jugements prononcés, si le candidat est en redressement judiciaire",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Déclaration sur l'honneur du candidat attestant qu'il est en règle, au cours de l'année précédant celle au cours de laquelle a lieu le lancement de la consultation, au regard des articles L. 5212-1, L. 5212-2, L. 5212 5 et L. 5212-9 du code du travail, concernant l'emploi des travailleurs handicapés",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Si le candidat est établi en France, une déclaration sur l'honneur du candidat justifiant que le travail est effectué par des salariés employés régulièrement au regard des articles L. 1221-10, L. 3243-2 et R. 3243-1 du code du travail (dans le cas où le candidat emploie des salariés, conformément à l'article D. 8222-5-3° du code du travail)",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Si le candidat est établi ou domicilié à l'étranger, une déclaration sur l'honneur du candidat attestant qu'il fournit à ses salariés des bulletins de paie comportant les mentions prévues à l'article R. 3243-1 du code du travail, ou des documents équivalents",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Documents à produire à l'appui des candidatures par le candidat, au choix de l'acheteur public",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Déclaration concernant le chiffre d'affaires global et le chiffre d'affaires concernant les fournitures, services ou travaux objet du marché, réalisés au cours des trois derniers exercices disponibles",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Déclaration indiquant les effectifs moyens annuels du candidat et l'importance du personnel d'encadrement pour chacune des trois dernières années,CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Présentation d'une liste des principales fournitures ou des principaux services effectués au cours des trois dernières années, indiquant le montant, la date et le destinataire public ou privé. Les livraisons et les prestations de services sont prouvées par des attestations du destinataire ou, à défaut, par une déclaration de l'opérateur économique",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Certificats de qualifications professionnelles. La preuve de la capacité du candidat peut être apportée par tout moyen, notamment par des certificats d'identité professionnelle ou des références de travaux attestant de la compétence de l'opérateur économique à réaliser la prestation pour laquelle il se porte candidat",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Formulaire DC1, Lettre de candidature - Habilitation du mandataire par ses co-traitants (disponible à l'adresse suivante : http://www.economie.gouv.fr/directions_services/daj/marches_publics/formulaires/DC/daj_dc.htm)",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Formulaire DC2, Déclaration du candidat individuel ou du membre du groupement (disponible à l'adresse suivante : http://www.economie.gouv.fr/directions_services/daj/marches_publics/formulaires/DC/daj_dc.htm)",CF_NIV_SUIV,False,True
22-2936,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Si l'attributaire est établi en France, les attestations et certificats délivrés par les administrations et organismes compétents prouvant qu'il a satisfait à ses obligations fiscales et sociales ou un état annuel des certificats reçus",CF_NIV_SUIV,False,True
22-2946,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
22-2960,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Autres renseignements demandés,CF_NIV_SUIV,False,True
22-2960,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Cf règlement de la consultation,CF_NIV_SUIV,False,True
22-3002,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Documents à produire à l'appui des candidatures par le candidat, au choix de l'acheteur public",CF_NIV_SUIV,True,False
22-3002,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"Formulaire DC1, Lettre de candidature - Habilitation du mandataire par ses co-traitants (disponible à l'adresse suivante : http://www.economie.gouv.fr/directions_services/daj/marches_publics/formulaires/DC/daj_dc.htm)",CF_NIV_SUIV,True,False
