BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-114011,Ville d'Aubervilliers,None,,Direction des Achats et de la Commande Publique,FR106,"72 rue henry barbusse 93300,",None,Aubervilliers,,,,,commandepublique@mairie-aubervilliers.fr,https://marches.maximilien.fr,https://marches.maximilien.fr,,https://marches.maximilien.fr,https://marches.maximilien.fr,,False,True,,False,True
21-114252,Université de Corse,None,,Direction de la Commande Publique,FRM02,Avenue du 9 Septembre,None,Corte,,(+33) 4-95-45-01-99,,,marchepublic@univ-corse.fr,http://www.univ-corse.fr,http://www.klekoon.com,,,,,False,True,,False,True
21-129515,MINARM/DGA/DO/S2A,FR5415200046900014,,Ne pas déposer les plis et les questions sur l'adresse e-mail ci-après. Voir la rubrique VI.3) 2) infra pour les modalités de transmission des plis.,,Ministère des armées - Direction générale de l'armement - Direction des opérations - Service des achats d'armement / division achats site de Bruz - BP 7 - 35998 RENNES Cedex 9,35998,Rennes Cedex 9,,(+33) 2-90-02-63-16,,,dga-do-s2a.achats-bruz.fct@intradef.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,,,False,False,,False,False
21-129881,Centre HOSPITALIER DE SAINT DENIS,None,"M. DUBUS PATRICIA, Centre Hospitalier de Saint Denis",,,2 Rue du Dr Delafontaine,93200,Saint-denis,,01-42-35-60-22,,,,https://www.ch-stdenis.fr,,,,,,False,False,,False,False
21-129904,CNRS Marseille,None,Madame la Déléguée Régionale,,,31 Chemin Joseph Aiguier CS70071,13402,MARSEILLE CEDEX 09,,,,,appel.offres@dr12.cnrs.fr,http://www.provence-corse.cnrs.fr/,http://www.marches-publics.gouv.fr/,,,,,False,False,,False,False
21-136532,Préfecture de Police,None,Préfecture de Police,,,"1bis, rue de Lutèce",75195,Paris,,(+33)1-70-22-25-79,,(+33)1-70-22-25-50,prefpol.marchespublics-scp@interieur.gouv.fr,https://marches.maximilien.fr,https://www.prefecture-police-paris.interieur.gouv.fr,,,,,False,False,,False,False
21-145277,Syndicat Mixte du Bassin de la Brenne,None,Gallais Titouan,,,Mairie,37110,Château-Renault,,02-47-55-81-67,,,syndicat.brenne@wanadoo.fr,,,,,,,False,False,,False,False
21-146737,Préfecture de Police,None,M. BRIQUELOT Mathilde,,,"1 bis, rue de Lutèce",75195,Paris cedex 04,,01-70-22-26-52,,,prefpol.marchespublics-scp@interieur.gouv.fr,http://www.prefecture-police-paris.interieur.gouv.fr,http://Marches.maximilien.fr,,,,,False,False,,False,False
21-152676,Ville de Valenciennes,None,Monsieur le Maire,,,BP 90339,59304,Valenciennes Cedex,,03-27-22-59-00,,,,http://www.valenciennes.fr/,http://marchespublics596280.fr/,,,,,False,False,,False,False
21-154323,MINARM/DGA/DO/S2A,152 000 493 00014 ,"division achat, ministère des armées",ne pas déposer les plis et les questions sur l'adresse mail ci-après,,ministère des armées - direction générale de l'armement - direction des opérations - service des achats d'armement / Division achats sud ouest - saint-Médard. DGA EM site Gironde,33166,Saint-Médard-en-Jalles,,,,,dga-scat.marches-gironde.fct@intradef.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,,,False,False,,False,False
