BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
21-129881,False,False,False,False,False,False,False,
21-129904,False,False,False,False,False,True,False,
21-136532,False,False,False,False,True,False,False,
21-145277,False,False,False,False,False,False,True,
21-152676,False,False,False,False,True,False,False,
21-158657,False,False,False,False,True,False,False,
21-159240,False,False,False,False,False,True,False,
21-160234,False,False,False,False,False,False,True,
21-162358,False,False,False,False,True,False,False,
21-162445,False,False,False,False,True,False,False,
21-164692,False,False,False,False,False,False,True,
21-165051,False,True,False,False,False,False,False,
21-165066,False,False,False,False,False,False,True,
21-165106,False,False,False,False,False,False,False,
21-165502,False,False,False,False,False,True,False,
21-165860,False,False,False,False,True,False,False,
21-165878,False,False,False,False,True,False,False,
21-166017,False,False,False,True,False,False,False,
21-166858,False,False,False,True,False,False,False,
21-168393,False,True,False,False,False,False,False,
21-168400,False,False,False,False,True,False,False,
21-168514,False,False,False,False,False,False,False,
21-168967,False,False,False,False,False,False,True,
21-169175,False,False,False,True,False,False,False,
21-169251,False,True,False,False,False,False,False,
21-169952,False,False,False,False,True,False,False,
21-170143,False,False,False,False,True,False,False,
21-170151,False,False,False,False,True,False,False,
21-170395,False,False,False,False,False,False,True,
21-170400,False,False,False,True,False,False,False,
21-170724,False,False,False,False,False,False,False,
21-171056,False,False,False,False,False,False,True,
21-171221,False,False,False,True,False,False,False,
21-171333,False,False,False,False,False,False,False,
21-171396,False,False,False,False,True,False,False,
21-171614,False,False,False,False,True,False,False,
22-10002,False,False,False,False,False,False,True,
22-10044,False,False,False,False,True,False,False,
22-10050,False,False,False,False,False,False,False,
22-10055,False,False,False,True,False,False,False,
22-10057,False,False,False,False,False,False,True,
22-10058,False,False,False,False,True,False,False,
22-10059,False,False,False,False,False,False,True,
22-10062,False,False,False,True,False,False,False,
22-10063,False,False,False,False,True,False,False,
22-10065,False,False,False,False,False,True,False,
22-10066,False,False,False,False,True,False,False,
22-10073,False,True,False,False,False,False,False,
22-10102,False,False,False,False,False,False,True,
22-10116,False,False,False,False,True,False,False,
22-1014,False,False,False,False,False,False,False,
22-10150,False,False,True,False,False,False,False,
22-10159,False,False,False,False,False,False,True,
22-1016,False,False,False,False,False,False,True,
22-10166,False,False,False,False,False,False,False,
22-1020,False,False,False,False,False,False,True,
22-10224,False,False,False,False,False,True,False,
22-10226,False,False,False,False,True,False,False,
22-1023,False,False,False,False,False,False,True,
22-10240,False,False,False,False,True,False,False,
22-10241,False,False,False,False,False,False,False,
22-10260,False,False,False,False,False,False,True,
22-10264,False,False,False,False,False,False,False,
22-1027,False,False,False,False,True,False,False,
22-10283,False,False,False,False,False,True,False,
22-10289,False,False,False,True,False,False,False,
22-10305,False,False,False,True,False,False,False,
22-10322,False,False,False,False,False,False,True,
22-10328,False,False,False,False,False,False,True,
22-10334,False,False,False,False,False,False,True,
22-10337,False,False,False,False,False,False,True,
22-10341,False,False,False,True,False,False,False,
22-10343,False,False,False,False,True,False,False,
22-10345,False,False,False,False,False,False,True,
22-10346,False,False,False,False,True,False,False,
22-10351,False,False,False,False,True,False,False,
22-10362,False,True,False,False,False,False,False,
22-10363,False,False,False,False,True,False,False,
22-10375,False,False,False,False,False,False,False,
22-10377,False,False,False,False,False,False,False,
22-1038,False,True,False,False,False,False,False,
22-10404,False,False,False,False,True,False,False,
22-10409,False,False,False,False,True,False,False,
22-10410,False,False,False,False,False,False,False,
22-10421,False,False,False,False,True,False,False,
22-10427,False,False,False,False,False,False,True,
22-10429,False,False,False,True,False,False,False,
22-10437,False,False,False,False,False,False,False,
22-10445,False,True,False,False,False,False,False,
22-1045,False,False,False,False,False,False,False,
22-10452,False,False,False,False,False,False,False,
22-10454,False,False,False,False,False,False,False,
22-10468,False,False,False,False,True,False,False,
22-10469,False,False,False,False,False,False,True,
22-10470,False,False,False,False,False,False,False,
22-10479,False,False,False,True,False,False,False,
22-10484,False,False,False,False,False,True,False,
22-10490,False,False,False,False,True,False,False,
22-10492,False,False,False,False,False,False,False,
22-10494,False,False,False,False,False,False,True,
22-10515,False,False,False,False,False,False,False,
22-10523,False,False,False,False,True,False,False,
22-10533,False,False,False,False,False,False,False,
22-10539,False,False,False,False,True,False,False,
22-10543,False,False,False,True,False,False,False,
22-10554,False,False,False,True,False,False,False,
22-10562,False,False,False,False,False,False,True,
22-10595,False,False,False,False,False,False,True,
22-10616,False,False,False,True,False,False,False,
22-10630,False,False,False,False,False,False,True,
22-10639,False,False,False,False,False,False,False,
22-10657,False,False,False,False,True,False,False,
22-10669,False,False,False,True,False,False,False,
22-10671,False,False,False,False,False,False,False,
22-1068,False,False,False,False,True,False,False,
22-10683,False,False,False,True,False,False,False,
22-10687,False,False,False,False,True,False,False,
22-10691,False,False,False,False,False,True,False,
22-10698,False,False,False,False,True,False,False,
22-10732,False,False,False,False,False,True,False,
22-10764,False,False,False,True,False,False,False,
22-10767,False,False,False,True,False,False,False,
22-10781,False,False,False,True,False,False,False,
22-10783,False,False,False,True,False,False,False,
22-1079,False,False,False,False,False,False,False,
22-10790,False,False,False,True,False,False,False,
22-10817,False,False,False,False,False,False,False,
22-10821,False,False,False,False,False,True,False,
22-10823,False,False,False,False,False,False,False,
22-10826,False,False,False,False,False,False,True,
22-10828,False,False,False,False,True,False,False,
22-10838,False,False,False,True,False,False,False,
22-10840,False,False,False,True,False,False,False,
22-10847,False,False,False,False,False,False,False,
22-10848,False,False,True,False,False,False,False,
22-10849,False,False,False,False,False,False,False,
22-10857,False,False,False,True,False,False,False,
22-10858,False,False,False,False,False,False,False,
22-10869,False,False,False,True,False,False,False,
22-1087,False,False,False,False,True,False,False,
22-10871,False,False,False,False,False,False,True,
22-10873,False,False,False,True,False,False,False,
22-10893,False,False,False,False,True,False,False,
22-10894,False,False,False,False,True,False,False,
22-109,False,False,False,False,True,False,False,
22-10907,False,False,False,False,False,False,True,
22-10911,False,False,False,False,False,False,False,
22-10925,False,False,False,False,False,False,False,
22-10939,False,False,False,False,True,False,False,
22-10940,False,False,False,False,False,False,False,
22-10942,False,False,False,False,False,True,False,
22-10948,False,False,False,False,False,False,False,
